,function,count
0,values,10710
1,shape,9642
2,loc[,8100
3,index,7956
4,head,6688
5,append,6686
6,plot,6619
7,value_counts,5930
8,groupby,5814
9,sum,5670
10,mean,5624
11,columns,5472
12,DataFrame,5408
13,read_csv,5298
14,astype,4564
15,apply,4060
16,reset_index,3812
17,sort_values,3794
18,iloc[,3510
19,drop,3266
20,str,3080
21,fillna,3078
22,join,2818
23,add,2392
24,merge,2280
25,where,2256
26,dt,2183
27,replace,2172
28,T,2059
29,unique,1972
30,isnull,1962
31,map,1952
32,transform,1940
33,array,1875
34,tolist,1856
35,concat,1792
36,dropna,1718
37,to_csv,1648
38,count,1592
39,max,1588
40,copy,1460
41,data,1322
42,isin,1280
43,describe,1174
44,rename,1166
45,std,1140
46,array,1133
47,agg,1100
48,name,982
49,min,920
50,size,876
51,boxplot,870
52,hist,842
53,items,828
54,set_index,792
55,round,790
56,style,776
57,sample,770
58,update,762
59,get,754
60,corr,752
61,Series,748
62,to_datetime,732
63,stack,702
64,nunique,694
65,util,688
66,get_dummies,688
67,keys,654
68,imag,636
69,io,626
70,cat,600
71,sub,564
72,to_frame,564
73,median,548
74,info,536
75,abs,510
76,argmax,500
77,quantile,452
78,iterrows,444
79,crosstab,434
80,notnull,422
81,tail,422
82,squeeze,354
83,ravel,342
84,drop_duplicates,332
85,__init__,328
86,transpose,328
87,sort_index,324
88,argsort,316
89,clip,314
90,dot,294
91,shift,288
92,set_option,276
93,np,270
94,base,266
95,rolling,264
96,core,232
97,datetime,232
98,select_dtypes,218
99,unstack,214
100,eval,206
101,pivot_table,206
102,mode,198
103,options,190
104,cut,184
105,from_dict,184
106,isna,182
107,any,178
108,dtype,178
109,dtypes,173
110,resample,166
111,memory_usage,166
112,Index,156
113,query,150
114,cumsum,144
115,pop,134
116,diff,132
117,pivot,128
118,idxmax,126
119,ix[,124
120,melt,118
121,view,106
122,select,106
123,empty,106
124,to_numeric,100
125,sparse,98
126,reindex,94
127,nlargest,90
128,as_matrix,88
129,factorize,84
130,axes,84
131,api,84
132,plotting,83
133,insert,82
134,__name__,80
135,product,74
136,argmin,74
137,all,74
138,multiply,72
139,at[,72
140,skew,70
141,duplicated,70
142,item,70
143,ndim,68
144,repeat,68
145,nonzero,68
146,assign,68
147,Categorical,66
148,DatetimeIndex,64
149,to_dict,56
150,pandas,54
151,qcut,54
152,rank,52
153,div,52
154,filter,50
155,__version__,48
156,align,48
157,idxmin,46
158,__class__,44
159,pipe,40
160,aggregate,40
161,iteritems,40
162,between,40
163,var,38
164,droplevel,36
165,read_sql,34
166,set_value,34
167,read_json,34
168,first,32
169,ewm,32
170,mul,32
171,to_period,30
172,read_pickle,30
173,divide,30
174,read_parquet,28
175,kurt,28
176,kurtosis,28
177,__len__,26
178,Timestamp,25
179,swapaxes,24
180,itertuples,24
181,to_timedelta,22
182,take,22
183,date_range,20
184,pct_change,18
185,read_excel,18
186,ne,18
187,from_records,16
188,cov,16
189,to_pickle,16
190,interpolate,16
191,read_table,16
192,add_prefix,16
193,to_records,16
194,xs,16
195,notna,16
196,__getitem__,14
197,cummin,14
198,get_value,14
199,get_option,12
200,reset_option,12
201,option_context,12
202,to_json,12
203,real,12
204,applymap,10
205,nbytes,10
206,convert_objects,10
207,get_ftype_counts,8
208,read_hdf,8
209,nsmallest,8
210,offsets,8
211,pow,8
212,add_suffix,8
213,prod,8
214,to_excel,8
215,read_feather,8
216,MultiIndex,6
217,cummax,6
218,get_values,6
219,mad,6
220,asfreq,6
221,last,6
222,Period,6
223,swaplevel,6
224,eq,6
225,to_html,6
226,subtract,6
227,itemsize,6
228,rename_axis,6
229,cumprod,6
230,corrwith,6
231,expanding,4
232,errors,4
233,RangeIndex,4
234,to_feather,4
235,read_sql_query,4
236,DatetimeTZDtype,4
237,to_parquet,4
238,to_hdf,4
239,Timedelta,4
240,equals,4
241,tseries,4
242,arrays,4
243,test,4
244,to_sql,4
245,to_clipboard,2
246,from_csv,2
247,tz_convert,2
248,tz_localize,2
249,get_dtype_counts,2
250,combine,2
251,testing,2
252,to_timestamp,2
253,merge_ordered,2
254,to_string,2
255,bfill,2
256,put,2
257,from_items,2
258,searchsorted,2
259,ExcelWriter,2
260,read_html,2
261,read_clipboard,2
262,le,2
